,,Total GLH Year 1,Learners,Total GLH Year 2,Learners,Total GLH Year 3,Learners
Sixth Form College,East Midlands,1003088,1375,1115427,1513,1248720,1731
Sixth Form College,East Midlands,1010281,1773,995326,1288,972662,1288
Sixth Form College,East Midlands,815186,1813,867934,1614,857176,1661
Sixth Form College,East Midlands,1291220,1888,1315597,1863,1412381,2066
East Midlands,,4119775,6849,4294284,6278,4490939,6746
Sixth Form College,East of England,772705,1722,819897,1452,900882,1564
Sixth Form College,East of England,1175536,4783,1181678,5367,1168121,5297
Sixth Form College,East of England,1458615,2678,1297574,2153,1116752,2136
Sixth Form College,East of England,1323492,1964,1330920,2012,1416412,2171
Sixth Form College,East of England,1257344,2072,1428635,1967,1446706,2039
Sixth Form College,East of England,507403,1648,505126,1331,478245,795
Sixth Form College,East of England,1553337,4381,1641400,3456,1747078,2899
Sixth Form College,East of England,1947944,2466,2062824,2551,2325607,2793
East of England,,9996376,21714,10268054,20289,10599803,19694
Sixth Form College,Greater London,1027776,1514,1020719,1485,856334,1299
Sixth Form College,Greater London,965367,1392,1017537,1477,1007675,1460
Sixth Form College,Greater London,783525,1267,843501,1329,833472,1282
Sixth Form College,Greater London,1700716,2097,1654886,2052,1578071,2095
Sixth Form College,Greater London,852674,3067,788523,2553,755525,2458
Sixth Form College,Greater London,1247463,1910,1295319,1953,1286998,1970
Sixth Form College,Greater London,1349778,3095,1483662,3203,1466971,2919
Sixth Form College,Greater London,1472293,1996,1395744,1994,1488290,2046
Sixth Form College,Greater London,818715,1049,813419,1057,831613,1076
Sixth Form College,Greater London,686436,855,705987,870,722155,894
Sixth Form College,Greater London,839939,1289,861123,1308,814123,1336
Sixth Form College,Greater London,738477,978,850368,1006,818151,1056
Greater London,,12483159,20509,12730788,20287,12459378,19891
Sixth Form College,North East,319410,583,281553,453,273090,426
Sixth Form College,North East,598010,1203,620832,854,694121,902
Sixth Form College,North East,1092444,2233,1158019,2025,1205656,2210
Sixth Form College,North East,1069176,2249,1142176,2267,1151787,2304
Sixth Form College,North East,500036,728,448104,637,382611,557
Sixth Form College,North East,692553,1130,683636,999,677280,1012
North East,,4271629,8126,4334320,7235,4384545,7411
Sixth Form College,North West,1663991,2586,1661772,2711,1670944,2717
Sixth Form College,North West,1262173,2384,1351608,2525,1420088,2544
Sixth Form College,North West,595636,1319,621547,1127,630029,1110
Sixth Form College,North West,1051515,4057,1009843,3850,1008663,3330
Sixth Form College,North West,1205426,1575,1330817,1520,1527835,1630
Sixth Form College,North West,787768,1098,796307,1163,817662,1219
Sixth Form College,North West,1326043,1904,1463941,1982,1729788,2209
Sixth Form College,North West,1143611,1556,1228333,1633,1202460,1594
Sixth Form College,North West,2094745,7197,2096406,5939,2176747,5842
Sixth Form College,North West,893631,3397,906367,3239,938850,3050
Sixth Form College,North West,1058351,1539,1202857,1671,1202169,1750
Sixth Form College,North West,1239722,1996,1423645,2539,1373276,2370
Sixth Form College,North West,1287317,1888,1445577,1816,1484510,1789
Sixth Form College,North West,1509455,2111,1529140,2123,1587624,2215
Sixth Form College,North West,1900155,7216,1835031,6394,1484834,5651
Sixth Form College,North West,953103,2582,975840,2335,1104906,2351
Sixth Form College,North West,866721,2720,879467,2489,917096,2401
Sixth Form College,North West,694124,1183,763697,1163,799029,1316
Sixth Form College,North West,1102744,1815,1188124,1763,1413430,1855
Sixth Form College,North West,837874,1557,,,,
Sixth Form College,North West,1116263,1914,1127007,1785,1163947,1811
Sixth Form College,North West,1053132,1393,1187486,1495,1241280,1571
North West,,25643500,54987,26024812,51262,26895167,50325
Sixth Form College,South East,1117746,3666,1195602,3365,1335610,3415
Sixth Form College,South East,1721511,4290,1677040,3922,1727547,3754
Sixth Form College,South East,1020276,2006,1110520,2085,986995,2031
Sixth Form College,South East,1224350,1903,1252010,1652,1469252,1774
Sixth Form College,South East,1009700,1993,1067988,2113,1106620,2101
Sixth Form College,South East,1200793,2093,1201543,2140,1199432,2101
Sixth Form College,South East,371926,1449,331051,1165,,
Sixth Form College,South East,1473281,2935,1503566,2617,1413094,2569
Sixth Form College,South East,990896,3045,1009000,3067,1081469,2792
Sixth Form College,South East,1016972,2543,1030020,2538,968296,2397
Sixth Form College,South East,2133586,6775,2163350,6304,2131463,5930
Sixth Form College,South East,690012,3463,656378,3226,475962,2574
Sixth Form College,South East,1463459,3516,1559334,3433,1510630,3308
Sixth Form College,South East,1179588,1718,1129700,1646,1260780,1646
Sixth Form College,South East,2155247,2594,2427294,2908,2542207,2957
Sixth Form College,South East,399915,2041,367736,1673,,
Sixth Form College,South East,1140176,3633,965684,3682,763714,3410
Sixth Form College,South East,989524,2322,1009028,2802,1003741,2977
Sixth Form College,South East,977608,2209,1039467,2059,945291,1805
Sixth Form College,South East,991481,9551,1024160,8172,947958,5631
Sixth Form College,South East,823040,2593,862797,2813,849972,2947
Sixth Form College,South East,486009,1411,520386,1369,624708,1217
Sixth Form College,South East,936625,1592,1025785,1737,1082152,1660
South East,,25513721,69341,26129439,66488,25426893,58996
Sixth Form College,South West,1130088,1865,1189602,1922,1244753,2037
Sixth Form College,South West,977877,1324,1101855,1423,1126454,1474
South West,,2107965,3189,2291457,3345,2371207,3511
Sixth Form College,West Midlands,953640,2053,888086,2036,864200,1663
Sixth Form College,West Midlands,1118698,1986,1281193,1880,1245282,1884
Sixth Form College,West Midlands,1040542,1527,1042511,1660,1147570,1815
Sixth Form College,West Midlands,917165,2623,993748,2417,951451,2168
Sixth Form College,West Midlands,1159872,7399,,,,
Sixth Form College,West Midlands,620785,960,685443,1064,731942,1123
Sixth Form College,West Midlands,898313,1385,998511,1439,1008854,1468
Sixth Form College,West Midlands,334143,2175,364411,2137,316891,2115
Sixth Form College,West Midlands,883755,1779,863226,1631,917898,1758
Sixth Form College,West Midlands,919389,2314,946149,1394,950389,1364
Sixth Form College,West Midlands,1589897,2678,1574074,2505,1646995,2497
Sixth Form College,West Midlands,1024937,2903,1098827,2428,1093758,2226
West Midlands,,11461136,29782,10736179,20591,10875230,20081
Sixth Form College,Yorkshire and the Humber,1072159,3363,1068613,2588,1242131,2868
Sixth Form College,Yorkshire and the Humber,1403361,1773,1397677,1797,1474997,1797
Sixth Form College,Yorkshire and the Humber,1163246,1668,1219582,1734,1326267,1916
Sixth Form College,Yorkshire and the Humber,1485970,3344,1585355,2960,1603380,3013
Sixth Form College,Yorkshire and the Humber,819239,1275,939890,1389,882239,1176
Sixth Form College,Yorkshire and the Humber,993375,1645,1035129,1608,1098820,1678
Sixth Form College,Yorkshire and the Humber,1066716,1423,1099875,1499,1092260,1479
Sixth Form College,Yorkshire and the Humber,764224,1398,758785,1464,774857,1463
Sixth Form College,Yorkshire and the Humber,968009,5630,906635,3659,899144,2191
Sixth Form College,Yorkshire and the Humber,1014920,1429,1101756,1507,1128714,1601
Sixth Form College,Yorkshire and the Humber,588423,1287,634290,1259,673063,1226
Yorkshire and the Humber,,11339642,24235,11747587,21464,12195872,20408
Total,,106936903,238732,108556920,217239,109699034,207063
